epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2202.31,1.54209,1.20471,1.60703,0.42976,0.28696,0.31712,0.1205,2.25238,2.41741,1.87606,0.000277409,0.000277409,0.000277409
2,5258.29,1.54932,1.06576,1.64012,0.49657,0.20536,0.30185,0.1239,2.23069,2.66988,1.94744,0.000544085,0.000544085,0.000544085
3,7574.06,1.50058,1.01779,1.6002,0.47863,0.33326,0.33572,0.13474,2.15608,2.497,1.93448,0.000799765,0.000799765,0.000799765
4,9905.75,1.45432,0.9687,1.57165,0.349,0.35965,0.35699,0.15573,2.07091,2.32536,1.80716,0.00078352,0.00078352,0.00078352
5,12877.3,1.42893,0.94518,1.56069,0.36623,0.37018,0.35573,0.13919,2.08707,2.31062,1.79817,0.000767026,0.000767026,0.000767026
6,1734.65,1.36104,0.8835,1.49853,0.33247,0.36635,0.34712,0.14116,2.20995,2.42896,1.84379,0.000750533,0.000750533,0.000750533
7,3772.47,1.3379,0.84729,1.49725,0.56403,0.38115,0.38379,0.16272,2.17912,2.2038,1.82976,0.00073404,0.00073404,0.00073404
8,6000.84,1.32002,0.82351,1.46821,0.59756,0.38024,0.3951,0.18351,2.02092,2.38594,1.7147,0.000717546,0.000717546,0.000717546
9,43047,1.28225,0.79238,1.44165,0.39257,0.37559,0.35769,0.16864,2.20077,2.10682,1.80625,0.000701053,0.000701053,0.000701053
10,2954.78,1.26088,0.7746,1.42625,0.35155,0.34955,0.3329,0.15802,2.09091,2.54536,1.75795,0.000684559,0.000684559,0.000684559
11,6041.15,1.2455,0.76182,1.42925,0.50512,0.33918,0.37378,0.16383,2.13206,2.15097,1.77464,0.000668066,0.000668066,0.000668066
12,10542.1,1.22057,0.74925,1.40215,0.42845,0.40197,0.39182,0.18687,1.90958,1.994,1.63399,0.000651573,0.000651573,0.000651573
13,13563.6,1.19707,0.72282,1.38167,0.40712,0.40983,0.40779,0.17882,2.06352,2.09372,1.73678,0.000635079,0.000635079,0.000635079
14,2323.59,1.17153,0.70839,1.3684,0.45872,0.37942,0.39217,0.18587,2.0297,2.26014,1.70185,0.000618586,0.000618586,0.000618586
15,4688.76,1.16754,0.69482,1.37665,0.44232,0.39731,0.39373,0.16782,2.19545,2.17473,1.83465,0.000602092,0.000602092,0.000602092
16,2414.26,1.11387,0.66159,1.33624,0.44583,0.40667,0.40307,0.1773,2.08059,2.17628,1.74927,0.000585599,0.000585599,0.000585599
17,5048.26,1.0992,0.65541,1.33437,0.41098,0.3961,0.39799,0.17147,2.17094,2.36665,1.83815,0.000569106,0.000569106,0.000569106
18,14689,1.14415,0.66997,1.35117,0.41105,0.40683,0.39973,0.1828,2.03818,2.15427,1.72817,0.000552612,0.000552612,0.000552612
19,17921.4,1.13261,0.66156,1.33957,0.41551,0.38779,0.36723,0.17858,2.14839,2.41897,1.83256,0.000536119,0.000536119,0.000536119
20,2735.64,1.07447,0.63573,1.30714,0.44388,0.38152,0.37557,0.17343,2.10917,2.23643,1.75516,0.000519625,0.000519625,0.000519625
21,5410.07,1.05713,0.62154,1.30876,0.45241,0.37906,0.37358,0.16881,2.20463,2.37432,1.83813,0.000503132,0.000503132,0.000503132
22,8051.66,1.08746,0.63692,1.3156,0.39449,0.40155,0.37841,0.17505,2.13226,2.13749,1.80156,0.000486639,0.000486639,0.000486639
23,11301.8,1.06446,0.61828,1.29991,0.43458,0.39359,0.38165,0.18091,2.11387,2.17879,1.77631,0.000470145,0.000470145,0.000470145
